player_name,Player,season,G,Min,eFG_per,OR_per,DR_per,TO_per,FTr,Fguse_per,ShotUse_per,AstRate,FG3r,BLKr,STLr,PF/48min,FG2_per,FG3_per,TREB_per,Floor_per,ORTG,PtsProd,PossUsg,DRTG,NetPts/48,NetPtsAR,WinsAR,StartYear,YearsInLeague,all_nba,team,Positions
Michael Cooper,"Cooper,Michael",1985,82,2189,0.495,0.032,0.095,0.206,0.194,0.148,0.143,0.224,0.207,0.012,0.02,4.6,0.513,0.285,0.066,0.52,110.3,834,16%,107.7,0.1,95,3.2,,,0,None,
Michael Cooper,"Cooper,Michael",1986,82,2269,0.504,0.023,0.096,0.194,0.243,0.144,0.142,0.243,0.269,0.01,0.018,5,0.476,0.387,0.061,0.53,114.1,886,16%,106.9,0.8,134,4.5,,,0,None,
Michael Cooper,"Cooper,Michael",1987,82,2253,0.498,0.031,0.09,0.13,0.171,0.178,0.169,0.206,0.314,0.01,0.016,4.2,0.461,0.385,0.063,0.53,116.9,914,16%,108.4,1.1,145,4.8,,,0,None,
Michael Cooper,"Cooper,Michael",1988,61,1793,0.451,0.033,0.107,0.177,0.201,0.15,0.144,0.202,0.369,0.008,0.018,3.6,0.434,0.32,0.072,0.49,107,611,15%,108.3,-0.6,52,1.7,,,0,None,
Michael Cooper,"cooper,michael",1989,80,1943,0.512,0.02,0.085,0.167,0.164,0.141,0.133,0.203,0.425,0.009,0.018,4.6,0.468,0.381,0.055,0.51,115.1,648,14%,109.9,0.1,84,2.8,,,0,None,
Michael Cooper,"cooper,michael",1990,80,1851,0.438,0.038,0.1,0.168,0.168,0.151,0.143,0.153,0.318,0.011,0.018,5.3,0.42,0.318,0.07,0.47,104,565,15%,108.2,-1.1,37,1.2,,,0,None,
Wayne Cooper,"Cooper,Wayne",1979,65,795,0.437,0.121,0.258,0.165,0.14,0.196,0.193,0.035,0,0.03,0.004,7.1,0.437,,0.189,0.48,95.4,301,19%,100.7,-1.1,16,0.5,,,0,None,
Wayne Cooper,"Cooper,Wayne",1980,79,1781,0.49,0.121,0.195,0.172,0.181,0.229,0.227,0.035,0.005,0.025,0.005,6.6,0.491,0.25,0.157,0.51,101.6,825,22%,107.3,-1.1,35,1.2,,,0,None,
Wayne Cooper,"Cooper,Wayne",1981,71,1420,0.453,0.136,0.219,0.148,0.132,0.192,0.184,0.053,0.006,0.02,0.006,7.4,0.453,0.333,0.178,0.5,100,522,18%,109.1,-1.8,6,0.2,,,0,None,
Wayne Cooper,"Cooper,Wayne",1982,76,1818,0.421,0.121,0.228,0.126,0.178,0.201,0.195,0.09,0.012,0.033,0.01,7.5,0.424,0.125,0.173,0.51,102.9,718,19%,106.7,-0.8,46,1.5,,,0,None,
